Title,Author,Subtitle,ISBN,Status,Rating,Pages,Publisher,Series,Country,Language,Ownership,Copies,Genres,Themes,Moods,Tropes,Tags,Seasonal,Collections,One-line recommendation,Confidence,Why I recommend it,Personal notes,Finished,Added,Times recommended,Last recommended
"84, Charing Cross Road",Helene Hanff,,,want-to-read,,,,,United Kingdom,English,,,Literary Fiction,loneliness; friendship; bookstores; letters,heartwarming; humorous,character-driven; interiority,book club pick; epistolary; classic; London setting; imported from site; level:intermediate; gem:classic,Winter Reading,World Bookshelf; Comfort Reads,"A charming, humorous, and poignant exploration of friendship and bookstores.",,,Imported from site book directory,,2026-07-23,0,
1984,George Orwell,,,want-to-read,,,,,United Kingdom,English,,,Classics; Fiction; Literary Fiction,dystopia; totalitarianism; propaganda; loss of freedom; surveillance,ominous; dark; thought-provoking,character-driven; interiority,classic dystopian; 1984 reference; totalitarian regime; government control; book club pick; translated fiction; level:intermediate; gem:classic,Winter; Book Club Season,World Bookshelf; Dark & Atmospheric,A haunting warning about the dangers of government control and the loss of individual freedom.,,,Imported from site book directory,,2026-07-23,0,
Origin,Dan Brown,,,want-to-read,,,,,United States,English,,paperback @ UAE,Thriller; Mystery,science; technology; religion; power; corruption; identity; morality,suspenseful; intelligent; fast-paced,cryptic clues; secret societies,Dan Brown book; symbology; mystery novel; bestseller; page-turner; book club pick; summer read; gem:popular,summer read; holiday gift,World Bookshelf; Page-Turners,Dive into a heart-pumping mystery that will keep you guessing until the very end.,,,,,,0,
Angles & Demon,Dan Brown,,,want-to-read,,,,,United States,English,,paperback @ UAE,Thriller; Mystery,faith; science; power; deception; murder; revenge,suspenseful; dark; intense,secret societies; ancient conspiracies,Dan Brown book; Catholic Church; Vatican; mystery novel; thriller novel; bestseller; page-turner; gem:popular,summer read; Halloween read,World Bookshelf; Dark & Atmospheric; Page-Turners,"If you enjoy fast-paced thrillers with intricate plots and historical mysteries, you'll love 'Angels & Demons'.",,,,,,0,
The Lost Symbol,Dan Brown,,,want-to-read,,,,,United States,English,,paperback @ UAE,Thriller; Mystery,power; secrets; history; mythology; symbolism; identity; betrayal,suspenseful; intriguing; fast-paced,cryptic clues; ancient conspiracies,masonic mysteries; Washington D.C. setting; cryptic symbols; historical references; action-packed; male protagonist; level:intermediate,,World Bookshelf; Page-Turners,"Dive into a world of cryptic clues and ancient conspiracies with Dan Brown's signature blend of history, mystery, and suspense.",,,,,,0,
Digital Fortress,Dan Brown,,,want-to-read,,,,,United States,English,,paperback @ UAE,Thriller; Techno-Thriller,power; corruption; technology; security; loyalty; deception; surveillance,suspenseful; intense; fast-paced,cryptic clues; rival organizations,tech industry; NSA; codebreaking; mystery; action-packed; page-turner; bestseller; Dan Brown novel; gem:popular,,World Bookshelf; Dark & Atmospheric; Page-Turners,"For fans of high-stakes thrillers and cryptic puzzles, Digital Fortress is a gripping page-turner that explores the darker side of technology and power.",,,,,,0,
The Queen's Secret,Melissa De La Cruz,,,want-to-read,,,,,United States,English,,paperback @ UAE,Historical Fiction,royalty; power; secrets; loyalty; deception,intriguing; regal; mysterious,period setting; social constraints,royal story; historical drama; strong female lead; mystery elements; period fiction,,World Bookshelf,"Dive into a captivating tale of royalty, secrets, and power struggles with 'The Queen's Secret'.",,,,,,0,
The Queen's Assassin,Melissa De La Cruz,,,want-to-read,,,,,United States,English,,paperback @ UAE,Fantasy; Young Adult,identity; loyalty; power; self-discovery; duty,adventurous; romantic; intense,forbidden love; royal court,YA fantasy; strong female lead; royal romance; assassin protagonist; fantasy adventure,,World Bookshelf; Dark & Atmospheric,Dive into a captivating world of fantasy and romance with a strong and deadly heroine at its core.,,,,,,0,
The Krishna Key,Ashwin Sanghi,,9789381626689,read,5,475,Westland,,India,English,,paperback @ UAE,Thriller; Mythology; Mystery,mythology; history; mystery; adventure; self-discovery; power struggle; ancient secrets; mythology vs science; legacy; good vs evil; obsession,thrilling; mysterious; adventurous; thought-provoking; suspenseful; fast-paced; intellectual,ancient prophecies; hidden treasures; race against time; academic protagonist; serial killer on a mission,Indian author; mythological fiction; historical thriller; adventure story; mystery novel; Indian mythology; mythological thriller; page-turner; Indian history; book club pick; level:intermediate,Diwali; Navratri; rainy day read; weekend binge,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Page-Turners,"Dive into a gripping tale that blends mythology, history, and adventure, perfect for fans of fast-paced thrillers.",,,,,2021-11-07,0,
The Sialkot Saga,Ashwin Sanghi,,9789385724060,want-to-read,,588,Westland,,India,English,,paperback @ UAE,Historical Fiction; Thriller,family; business; power; corruption; loyalty; deception; ambition; identity; betrayal,gripping; suspenseful; intense; complex,family feud; hidden secrets,Indian author; historical thriller; family saga; business fiction; corporate thriller; Indian culture; business thriller; historical fiction; long read; Indian setting; book club pick; level:advanced,Independence Day; summer read; Diwali,India Bookshelf; Indian Historical Fiction; Dark & Atmospheric; Page-Turners,"Dive into the gripping world of 'The Sialkot Saga' for a thrilling tale of family, power, and deception set against the backdrop of India's rich history.",,,,,2022-01-03,0,
Elektra,Jennifer Saint,,,want-to-read,,,,,United Kingdom,English,,paperback @ UAE,Mythology; Historical Fiction,family; trauma; grief; revenge; feminism; identity; morality,dark; emotional; intense,tragic heroine; family drama,Greek mythology retelling; strong female lead; book club pick; historical fiction; mythological fiction; female author; classics reimagined; level:intermediate; gem:classic,Women's History Month; summer read,World Bookshelf; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Heartbreaking Reads; Dark & Atmospheric,"Dive into this captivating retelling of Greek mythology, perfect for fans of strong female leads and historical fiction.",,,,,,0,
Hekate,Nikita Gill,,,want-to-read,,,,,United Kingdom,English,,paperback @ UAE,Mythology; Poetry,goddesses; feminism; empowerment; mythology; identity; female power,lyrical; inspirational; thought-provoking,reimagined mythology,goddess literature; feminist reading; poetry collection; mythology retelling; strong female lead; diverse voices; level:intermediate,International Women's Day; Women's History Month,World Bookshelf,Read 'Hekate' for a lyrical and thought-provoking exploration of female power and mythology.,,,,,,0,
The Quest,Wilbur Smith,,,want-to-read,,,,,South Africa,,,paperback @ UAE,Adventure; Historical Fiction,exploration; discovery; survival; courage; friendship; peril,exciting; adventurous; suspenseful,quest narrative,classic author; historical adventure; male protagonist; action-packed; exploratory fiction; gem:classic,summer read,World Bookshelf,Dive into this classic adventure novel for a thrilling tale of exploration and bravery that will keep you on the edge of your seat.,,,,,,0,
The little Coffee Shop of Kabul,Deborah Rodriguez,,,want-to-read,,,,,Afghanistan,English,,paperback @ UAE,Fiction; Contemporary,female empowerment; war; cultural identity; friendship; resilience; hope; survival,heartwarming; inspiring; emotional,,coffee shop setting; Afghan culture; strong female characters; book club pick; international fiction; women's rights; war story; small business,International Women's Day; summer read,World Bookshelf; Middle East & North Africa; Around the World in 52 Books; Heartbreaking Reads; Comfort Reads,Read this book for a powerful and uplifting story of female friendship and resilience in the face of war and adversity.,,,,,,0,
The Last Knot,Shabir Ahmad Mir,,,want-to-read,,,,,India,English,,paperback @ UAE,Literary Fiction,identity; grief; human connection; resilience; hope,heartbreaking; hopeful; emotional,character-driven; interiority,new release; book club pick; emotional read; character-driven; debut author; contemporary fiction; thought-provoking; level:intermediate,summer read; book club summer pick,India Bookshelf; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads,"A poignant and thought-provoking novel that explores the human condition, perfect for fans of literary fiction and emotional storytelling.",,,,,,0,
Rooh,Manav Kaul,,,want-to-read,,208,Penguin Random House India,,India,Hindi,,paperback @ UAE,Literary Fiction; Memoir,memory; displacement; nostalgia; identity; homecoming; search for roots,reflective; melancholic; poetic; atmospheric,homecoming; journey of self-discovery,Indian author; Hindi translation; Kashmir story; book club pick; poetic prose; translated literature; level:intermediate,monsoon read; autumn read; rainy day read,India Bookshelf; Indian Literary Fiction; States Through Stories; Kashmir Stories; Heartbreaking Reads; Dark & Atmospheric; Slow Literary,A hauntingly poetic exploration of memory and the irresistible pull of one's homeland.,,,,,,0,
The Fury,Alex Michaelides,,,want-to-read,,304,Celadon Books,,Greece,English,,paperback @ UAE,Mystery; Thriller; Psychological Thriller,obsession; betrayal; fame; unreliable narrator; revenge; illusion vs reality,atmospheric; tense; dark; dramatic,unreliable narrator; private island; locked room; wealthy elite,Greek island setting; unreliable narrator; book club pick; thriller lovers; vacation read; celebrity drama,Summer read; vacation read,World Bookshelf; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Dark & Atmospheric; Page-Turners,A deliciously theatrical and twisty Greek-island murder mystery told by an unforgettably unreliable narrator.,,,,,,0,
The scent of Fallen Stars,Aishwarya Jha,,9789357084765,currently-reading,,378,Viking,,India,English,,paperback @ UAE,Literary Fiction; Contemporary Fiction,identity; memory; longing; love; grief; fate,atmospheric; bittersweet; emotional; melancholy,star-crossed lovers,Indian author; book club pick; literary fiction; emotional read; contemporary Indian literature; level:intermediate,rainy day read; monsoon read; autumn read,India Bookshelf; Indian Literary Fiction; Heartbreaking Reads; Dark & Atmospheric,"A hauntingly atmospheric read about love, fate, and the poignant traces left behind by the past.",,,,,2026-05-17,0,
A bird on my Windowsill,Manav Kaul,,9780143464624,read,,160,Westland,,India,Hindi,,paperback @ UAE,Non-Fiction; Memoir; Literary Fiction; Mythology,solitude; introspection; travel; art and writing; mindfulness; nature; identity; found family; self-discovery,reflective; philosophical; peaceful; melancholic; heartbreaking; hopeful; atmospheric,personal reckoning; voice-driven; character-driven; interiority; mythology retelling; divine politics,Indian author; translated literature; Hindi in translation; quiet read; monsoon read; short read; book club pick; translated fiction; under 300 pages; level:intermediate,Monsoon read; Rainy day read; Autumn; Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric; Slow Literary,"A soulful and meditative read that captures the beauty of solitude, wandering, and everyday wonder.",,,,2025-04-06,2024-04-11,0,
The Woman in the Wood,Lesley Pearse,,,want-to-read,,400,Penguin,,United Kingdom,English,,paperback @ UAE,Historical Fiction; Mystery; Drama,family secrets; coming of age; mental illness; resilience; identity,mysterious; atmospheric; emotional; suspenseful,eccentric relative; small town secrets; mysterious outsider,1960s setting; British author; family drama; book club pick; historical mystery; coming of age story,Autumn read; Rainy day read,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"A compelling 1960s historical mystery rich with atmosphere, secrets, and unforgettable characters.",,,,,,0,
The Time Traveler's Wife,Audrey Niffenegger,,,want-to-read,,536,MacAdam/Cage,,United States,English,,paperback @ UAE,Science Fiction; Romance; Literary Fiction,fate and free will; devotion; grief; memory; unconventional love; mortality,bittersweet; romantic; melancholic; emotional; atmospheric,star-crossed lovers; time travel; lovers separated by fate,book club pick; time travel romance; debut novel; dual perspective; unconventional romance; bestseller; level:advanced; gem:popular,Valentine's Day; autumn read; rainy day read,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,A hauntingly poignant and unique love story about a devotion that transcends the limits of linear time.,,,,,,0,
The Innocent Wife,Amy Lloyd,,,want-to-read,,,,,United Kingdom,English,,paperback @ UAE,Psychological Thriller; Mystery,marriage; deception; justice; truth; media scrutiny,dark; twisty; suspenseful,wrongful conviction; investigative journalism,book club pick; twisty plot; crime fiction; domestic suspense; psychological suspense; marriage story; investigative thriller,summer read; weekend read,World Bookshelf; Dark & Atmospheric; Page-Turners,A gripping domestic thriller that explores the complexities of marriage and the dangers of deception.,,,,,,0,
Harem,Barbara Nadel,,,want-to-read,,,,,Turkey,,,paperback @ UAE,Historical Fiction; Mystery,power dynamics; identity; loyalty; deception; social hierarchy; murder; investigation,atmospheric; suspenseful; dark,fish out of water; investigating a murder,historical mystery; strong female lead; Ottoman Empire setting; crime fiction; book club pick; female detective,summer read; winter mystery,World Bookshelf; Middle East & North Africa; Around the World in 52 Books; Dark & Atmospheric; Page-Turners,"For fans of historical mysteries and strong female leads, 'Harem' is a gripping and immersive read that transports you to the enchanting world of 19th-century Istanbul.",,,,,,0,
Brida,Paulo Coelho,,9780061578939,read,,224,HarperCollins,,Ireland,Portuguese,,paperback @ UAE,Spiritual Fiction; Philosophical Fiction; Fantasy; Magical Realism; Literary Fiction,spirituality; self-discovery; love; soulmates; magic; faith; identity; feminism; personal growth; mysticism,mystical; reflective; inspiring; atmospheric; contemplative; inspirational; romantic,mentor and apprentice; spiritual quest; coming of age; magical realism,Paulo Coelho; spiritual journey; magic and mysticism; translated fiction; book club pick; quick read; female protagonist; philosophical themes; self-help elements; inspirational fiction; feminist literature; magical realism; personal development; transformative story; level:beginner,Autumn; rainy day read; New Year self-reflection; summer read; International Women's Day,World Bookshelf; Dark & Atmospheric; Slow Literary,"An enchanting exploration of love, faith, and spirituality from the beloved author of The Alchemist.",,,,2023-01-12,2022-09-26,0,
A perilous Pal,Laura Bradford,,,want-to-read,,288,Berkley,,United States,English,,paperback @ UAE,Mystery; Cozy Mystery,friendship; community; secrets; small town life; investigation,cozy; lighthearted; mysterious; warm,amateur sleuth; small town secrets,cozy mystery; female sleuth; small town mystery; quick read; weekend read; book club pick,Autumn; Rainy day read; Weekend read,World Bookshelf; Comfort Reads; Page-Turners,A charming and easygoing cozy mystery filled with small-town warmth and engaging intrigue.,,,,,,0,
The proof is in the poison,Diane Kelly,,,want-to-read,,304,St. Martin's Paperbacks,A Mountain Lodge Mystery,United States,English,,paperback @ UAE,Mystery; Cozy Mystery,community; small town secrets; second chances; justice,cozy; lighthearted; witty; charming,amateur sleuth; small town mystery,cozy mystery; mountain setting; female sleuth; book club pick; small town mystery; under 350 pages,Fall; Rainy day read,World Bookshelf; Comfort Reads; Page-Turners,"A charming and fast-paced cozy mystery set against a cozy mountain backdrop, perfect for fans of lighthearted whodunits.",,,,,,0,
Bleachers,John Grisham,,,want-to-read,,168,Doubleday,,United States,English,,paperback @ UAE,Fiction; Sports Fiction; Drama,nostalgia; legacy; forgiveness; small-town life; mentorship; regret; youthful glory,reflective; bittersweet; melancholic; nostalgic,reunion; tough mentor; glory days,American sports story; football fiction; under 200 pages; quick read; small town secrets; male friendship; book club pick; level:beginner,Autumn; Fall reading; Super Bowl weekend,World Bookshelf; Heartbreaking Reads,"A brief, compelling look at the dark side of high school sports obsession and the enduring power of a mentor's legacy.",,,,,,0,
Buddha,Deepak Chopra,,,want-to-read,,288,HarperOne,,India,English,,paperback @ UAE,Historical Fiction; Philosophical Fiction,enlightenment; spiritual journey; self-discovery; renunciation; compassion; transformation,reflective; inspiring; contemplative; atmospheric,hero's journey; riches to rags,Indian author; spiritual fiction; ancient India; life of Buddha; book club pick; inspiring read; philosophical novel,Vesak; New Year; rainy day read; Spring,India Bookshelf; Indian Historical Fiction; Dark & Atmospheric,An inspiring and accessible retelling of Siddhartha Gautama's path to enlightenment that breathes new life into timeless ancient wisdom.,,,,,,0,
Chowringhee,Sankar,,,want-to-read,,336,Penguin India,,India,Bengali,,paperback @ UAE,Literary Fiction; Historical Fiction,human nature; class division; secrets; ambition; city life; mortality,atmospheric; bittersweet; nostalgic; reflective,ensemble cast; behind the scenes,Indian author; Bengali literature; translated fiction; Kolkata story; book club pick; classic literature; 1950s setting; level:intermediate; gem:classic,Rainy day read; Monsoon read; Autumn read,India Bookshelf; Indian Historical Fiction; Indian Literary Fiction; States Through Stories; Bengal Stories; Dark & Atmospheric; Slow Literary,"A vibrant, deeply human portrait of mid-century Kolkata captured through the secret stories behind a hotel's glamorous façade.",,,,,,0,
The Iliad,Nick McCarty,,,want-to-read,,160,Usborne Publishing,,Ancient Greece,English,,paperback @ UAE,Mythology; Classics Retold; Historical Fiction,war; honor; glory; fate; revenge; mortality,epic; dramatic; tense; action-packed,divine intervention; tragic hero,Greek myth; Trojan War; classic retelling; short read; accessible classic; mythology lovers; level:beginner; gem:classic,back to school; rainy day read,World Bookshelf; Civilizations Through Books; Civilization · Greece; Around the World in 52 Books; Dark & Atmospheric,"An engaging, bite-sized entry point into ancient history's greatest battle.",,,,,,0,
My Sister's Keeper,Jodi Picoult,,9780743454537,read,5,423,Atria Books,,United States,English,,paperback @ UAE,Contemporary Fiction; Drama; Legal Fiction; Family Drama; Legal Thriller,sisterhood; bioethics; bodily autonomy; family loyalty; grief; parental love; family; sacrifice; love; identity; morality; ethics; health,heartbreaking; thought-provoking; emotional; tense; heart-wrenching; intense,moral dilemma; courtroom battle; courtroom drama; family secrets,book club pick; tearjerker; family drama; ethical dilemma; bestseller; sister relationship; emotional read; medical ethics; sibling love; courtroom thriller; contemporary classic; thought-provoking; gem:classic,rainy day read; autumn read; summer read; book club pick,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"A gripping, emotionally charged story about a family torn apart by a profound ethical dilemma.",,,,2024-04-10,2024-02-15,0,
The Apothecary,Maile Meloy,,,want-to-read,,368,G.P. Putnam's Sons,The Apothecary Series,United Kingdom,English,,paperback @ UAE,Fantasy; Historical Fiction; Young Adult,friendship; coming of age; courage; espionage; magic,adventurous; mysterious; whimsical; atmospheric,magical artifact; missing parent; unlikely allies,1950s London; Cold War story; magical potions; middle grade fiction; historical fantasy; book club pick,Autumn; Rainy day read; Halloween,World Bookshelf; Dark & Atmospheric,An enchanting blend of historical espionage and magical alchemy that delivers a thrilling adventure for all ages.,,,,,,0,
Sea of Poppies,Amitav Ghosh,,,want-to-read,,515,John Murray,Ibis Trilogy #1,India,English,,paperback @ UAE,Historical Fiction; Literary Fiction,colonialism; opium trade; caste; migration; found family; destiny,epic; atmospheric; immersive; dramatic,ragtag crew; fated encounters; cross-caste romance,Indian author; Ibis Trilogy; Booker Prize nominee; colonial history; historical epic; book club pick; level:advanced; gem:classic,Autumn read; Monsoon read,India Bookshelf; Indian Historical Fiction; Indian Literary Fiction; Dark & Atmospheric,"A brilliantly sprawling historical epic that paints a vivid, polyglot portrait of 19th-century colonial India and the high seas.",,,,,,0,
The Bankster,Ravi Subramanian,,,want-to-read,,360,Rupa Publications,,India,English,,paperback @ UAE,Thriller; Mystery,greed; corporate corruption; conspiracy; crime; morality,fast-paced; suspenseful; tense; dark,corporate conspiracy; whistleblower; deadly secrets,Indian author; financial thriller; corporate drama; page-turner; banking scandal; mumbai setting,monsoon read; weekend binge,India Bookshelf; States Through Stories; Maharashtra Stories; Dark & Atmospheric; Page-Turners,"A gripping, fast-paced financial thriller that exposes the dark and dangerous side of corporate ambition.",,,,,,0,
The Rule of Three,Sam Ripley,,,want-to-read,,336,Simon & Schuster,,United Kingdom,English,,paperback @ UAE,Thriller; Mystery; Horror,curse; paranoia; fate vs free will; urban legend; survival,tense; dark; suspenseful; creepy; fast-paced,urban legend; deadly curse; interconnected stories; unreliable narrator,psychological thriller; urban legend story; spooky read; page turner; book club pick; fast-paced read; Halloween read,Spooky Season; October reads; Halloween; rainy day read,World Bookshelf; Dark & Atmospheric; Page-Turners,"A terrifying, propulsive thriller that feeds on everyday superstitions and keeps you guessing until the very end.",,,,,,0,
Mahabharata Unravel Part-2,Ami Ganatra,,,want-to-read,,,,Unravelled Series,India,English,,,Non-Fiction; Mythology; History,dharma; truth; duty; ethics; epic history; misconceptions,informative; thought-provoking; insightful; analytical,mythology retelling; divine politics,Indian author; Mahabharata analysis; mythology non-fiction; book club pick; dharma and karma; Indian history; level:intermediate,Diwali; Gita Jayanti; weekend read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,Essential reading for anyone looking to understand the true textual essence of the Mahabharata beyond modern retellings.,,,,,,0,
The Untold Story of Sita,Merriam,,,want-to-read,,,,,India,English,,,Mythology; Historical Fiction,identity; grief; war; found family; feminism; culture; mythology; self-discovery,atmospheric; hopeful; heartbreaking; emotional; introspective,retelling; strong female lead,Indian author; mythological retelling; strong female character; book club pick; feminist literature; cultural heritage; historical retelling; Indian mythology; women's history; level:intermediate,Navratri; Diwali; International Women's Day,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; The Epic Project; Epic · Sita; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric,"Read 'The Untold Story of Sita' for a powerful, feminist retelling of the Ramayana that breathes new life into an ancient mythological tale.",,,,,,0,
Remarkable Creatures,Tracy Chevalier,,,want-to-read,,,,,United Kingdom,English,,,Historical Fiction,friendship; discovery; gender roles; fossil hunting; Victorian society,inspiring; thought-provoking; historical,period setting; social constraints,female friendship; 19th century setting; fossil discovery; women in science; historical figures; book club pick,Women's History Month; summer read,World Bookshelf,Read 'Remarkable Creatures' for a fascinating and inspiring story of female friendship and discovery in Victorian England.,,,,,,0,
Heads You Win,Jeffrey Archer,,,want-to-read,,,,,Russia,English,,,Thriller; Historical Fiction,identity; power; loyalty; deception; survival; politics; family,gripping; suspenseful; emotional; intense,double agent; cold war espionage,Cold War story; Russian setting; male author; page-turner; book club pick; historical thriller; spy novel; family drama,Winter read; Father's Day,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric; Page-Turners,"For fans of Cold War thrillers, 'Heads You Win' is an unputdownable tale of espionage, family, and survival.",,,,,,0,
If tomorrow Comes,Sidney Sheldon,,,want-to-read,,,,,United States,English,,,Thriller; Romance,love; survival; identity; betrayal; redemption; trust; deception,suspenseful; romantic; intense,forbidden love; cat and mouse,classic thriller; romantic suspense; page turner; airport read; Sidney Sheldon; iconic author; gem:classic,summer read; beach read,World Bookshelf; Dark & Atmospheric; Page-Turners,"If you enjoy suspenseful stories with a romantic twist, 'If Tomorrow Comes' is a must-read from the master of the thriller genre, Sidney Sheldon.",,,,,,0,
Maximum Ride,James Patterson,,,want-to-read,,,,,United States,English,,,Young Adult; Science Fiction; Action,identity; survival; found family; genetic experimentation; self-discovery; morality,fast-paced; adventurous; emotional; intense,superhero origin story; on-the-run,YA fiction; action-packed; series starter; strong female lead; genetic engineering themes; futuristic setting,summer read; back to school,World Bookshelf; Heartbreaking Reads; Dark & Atmospheric,"Dive into a thrilling world of action, adventure, and self-discovery with Maximum Ride, perfect for fans of fast-paced YA science fiction.",,,,,,0,
On Earth We're Briefly Gorgeous,Ocean Vuong,,,want-to-read,,,,,Vietnam/usa,English,,,Literary Fiction; Poetry,identity; family; war; immigration; grief; love; belonging,lyrical; heartbreaking; hopeful; intimate,character-driven; interiority,Vietnamese American author; LGBTQ+ themes; poetic prose; family drama; immigrant experience; book club pick; award-winning; level:intermediate,Pride Month; Asian American and Pacific Islander Heritage Month,World Bookshelf; Heartbreaking Reads; Comfort Reads; Slow Literary,"A stunning and lyrical novel that explores the complexities of family, identity, and belonging, written in exquisite prose.",,,,,,0,
The Vegetarian,Han Kang,,9781846276033,want-to-read,,,,,South Korea,Korean,,,Literary Fiction; Psychological Fiction,identity; morality; family; social norms; humanity; trauma; isolation,dark; haunting; introspective; melancholic,unreliable narrator; symbolism,Korean author; Man Booker International Prize winner; translated fiction; dark academia; family drama; mental health; social commentary; level:intermediate; gem:classic,Mental Health Awareness Month; World Vegetarian Day,World Bookshelf; East Asia Shelf; Around the World in 52 Books; Heartbreaking Reads; Dark & Atmospheric,"A mesmerizing and thought-provoking exploration of the human condition, perfect for readers who appreciate literary fiction and are interested in Korean culture.",,,,,,0,
The Fault in Our Stars,John Green,,,read,5,313,Dutton Books,,United States,English,,,Young Adult; Romance; Realistic Fiction,love; mortality; identity; grief; hope; meaning of life,heartbreaking; poignant; witty; emotional,star-crossed lovers; tragic ending,cancer story; YA classic; book club pick; summer read; tearjerker; award-winning author; bestseller; gem:classic,summer read; Valentine's Day,World Bookshelf; Heartbreaking Reads,"A heart-wrenching love story that will make you laugh and cry, exploring the complexities of life, love, and loss.",,,,,2021-10-31,0,
All the Light We Cannot See,Anthony Doerr,,9781476746586,read,4,531,Scribner,,France,English,,,Historical Fiction; Literary Fiction,hope; survival; war; grief; perception; human connection; resilience,atmospheric; emotional; hopeful; haunting,interconnected storylines; coming of age,Pulitzer Prize winner; WWII fiction; blind protagonist; historical fiction; literary fiction; book club pick; award-winning author; translated into many languages; 500+ pages; level:advanced; gem:classic,Memorial Day; Veterans Day; WWII remembrance,World Bookshelf; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric,"A beautifully written and emotionally charged novel that explores the human experience during WWII, perfect for fans of historical and literary fiction.",,,,,2021-10-31,0,
A Gentleman in Moscow,Amor Towles,,,read,4,495,Penguin Books,,Russia,English,,,Historical Fiction; Literary Fiction,identity; isolation; hope; redemption; class; freedom; human connection,atmospheric; contemplative; witty; heartwarming,fish out of water,Russian author; historical novel; book club pick; award-winning book; literary fiction; Cold War era; Moscow setting; level:intermediate,winter read; New Year's resolution,World Bookshelf; Comfort Reads; Dark & Atmospheric,A beautifully written and engaging novel that explores the human experience through the eyes of a charming and intriguing protagonist.,,,,,2021-10-31,0,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,,read,5,512,Vintage,,Israel,,,,Non-Fiction; Historical,human evolution; science; history; culture; society; technology; philosophy,informative; thought-provoking; engaging,,book club pick; historical non-fiction; science and technology; award-winning author; bestseller; educational; fascinating read; level:advanced; gem:popular,summer read; back to school,World Bookshelf,A fascinating and insightful book that will change the way you think about the history of our species.,,,,,2021-10-31,0,
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,,read,4,319,Avery,,United States,English,,,Self-Help; Personal Development; Psychology,behavior change; goal setting; motivation; self-improvement; personal growth; mindfulness; discipline,informative; inspiring; practical; optimistic,,self-improvement book; productivity guide; new year new me; goal setting; habit tracker; personal development book; motivational read; behavior change,New Year; New Year's Resolutions; Back to School; Summer Self-Improvement,World Bookshelf,"Read 'Atomic Habits' to transform your life with proven, science-backed strategies for building positive habits and achieving your goals.",,,,,2021-10-31,0,
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,,9781612130293,read,4,356,Vintage,Fifty Shades,United Kingdom,English,,,Romance; Erotic Fiction,power dynamics; intimacy; vulnerability; control; desire; identity; relationship,sensual; intense; passionate; dark,forbidden love; dominant male; naive heroine,erotic novel; adult romance; controversial book; bestseller; book club pick; Valentine's Day read; gem:popular,Valentine's Day,World Bookshelf; Dark & Atmospheric,"For readers who enjoy intense, passionate romance and are looking for a story that explores the complexities of desire and relationships.",,,,,2021-10-31,0,
Gone Girl,Gillian Flynn,,9780307588371,read,4,415,Ballantine Books,,United States,English,,,Thriller; Psychological Fiction; Mystery,betrayal; love; murder; deception; marriage; psychology; manipulation,dark; twisty; gripping; suspenseful,missing person; twist ending,human-pyscology-mystery-suspense; psychological thriller; crime fiction; marriage story; suspenseful read; twisty plot; book club pick; long read,summer read; weekend read,World Bookshelf; Dark & Atmospheric; Page-Turners,"If you enjoy twisty and suspenseful stories with complex characters, you'll love this gripping thriller about a marriage that's not what it seems.",,,"This book is a crime thriller but is more than that!! Human Psychology, child psychology, love, betrayal, murder, foolproof crime planning, and a lot more.<br/><br/>Book Starts with Amy- The female protagonist, missing from her house on the day of her fifth marriage Anniversary. The crime scene looks like a kidnapping case. When the police investigation starts, all clues evidence point to Nick- her Husband & male protagonist of the Story. Every year Amy used to set up a treasure hunt for Nick for his Anniversary Gift. This year was the same, but while searching for the treasure hunt, Nick found something that changed the whole perception of the story.<br/><br/>In the first part of the story, things might seem clear, the story might seem boring and you feel you know the murderer. But wait till you reach the second part, there is an unexpected twist! And you would be wandering about the patience in planning and plotting things. You would be reading Amy and Nick’s side of the story simultaneously. You might feel Nick as the villain of the story but wait till you reach the End.<br/><br/>This was a long read, but yeah one of the kind, you can’t put down to get quickly to the end, especially after the first part. On some pages it was boring but overall it’s a gripping Mystery Book. But I am a little disappointed with the end of the Book. I was expecting to have some better Ending.",,2021-10-31,0,
